"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","0.5943","0.6011","0.6099","0.5803","138.67M","-1.12%"
"12/30/2023","0.6011","0.6083","0.6130","0.5934","129.84M","-1.19%"
"12/29/2023","0.6083","0.6160","0.6256","0.5934","238.99M","-1.25%"
"12/28/2023","0.6160","0.6333","0.6760","0.6101","377.12M","-2.76%"
"12/27/2023","0.6335","0.6083","0.6428","0.5851","276.44M","4.14%"
"12/26/2023","0.6083","0.6243","0.6272","0.5722","265.52M","-2.56%"
"12/25/2023","0.6243","0.5915","0.6349","0.5897","200.82M","5.56%"
"12/24/2023","0.5914","0.6129","0.6281","0.5896","259.27M","-3.50%"
"12/23/2023","0.6128","0.6226","0.6229","0.5977","161.52M","-1.57%"
"12/22/2023","0.6226","0.6354","0.6505","0.6067","254.96M","-2.02%"
"12/21/2023","0.6354","0.5897","0.6393","0.5821","267.64M","7.75%"
"12/20/2023","0.5897","0.5759","0.6095","0.5691","234.84M","2.38%"
"12/19/2023","0.5760","0.6027","0.6170","0.5667","239.29M","-4.44%"
"12/18/2023","0.6027","0.5803","0.6027","0.5451","245.75M","3.86%"
"12/17/2023","0.5803","0.6082","0.6180","0.5775","169.49M","-4.58%"
"12/16/2023","0.6082","0.6004","0.6255","0.5874","190.97M","1.30%"
"12/15/2023","0.6004","0.6432","0.6537","0.6001","282.37M","-6.68%"
"12/14/2023","0.6434","0.6671","0.6789","0.6142","406.39M","-3.55%"
"12/13/2023","0.6671","0.5781","0.6776","0.5431","563.96M","15.41%"
"12/12/2023","0.5781","0.5505","0.6059","0.5505","414.59M","5.01%"
"12/11/2023","0.5505","0.5946","0.5978","0.5234","467.93M","-7.41%"
"12/10/2023","0.5946","0.5779","0.6133","0.5701","376.15M","2.88%"
"12/09/2023","0.5779","0.5452","0.6459","0.5441","793.70M","5.99%"
"12/08/2023","0.5453","0.4544","0.5703","0.4516","584.56M","19.99%"
"12/07/2023","0.4544","0.4425","0.4579","0.4315","237.79M","2.69%"
"12/06/2023","0.4425","0.4254","0.4539","0.4168","341.75M","4.08%"
"12/05/2023","0.4252","0.4067","0.4255","0.3971","210.79M","4.52%"
"12/04/2023","0.4068","0.3947","0.4147","0.3939","239.05M","3.06%"
"12/03/2023","0.3947","0.3970","0.4021","0.3876","148.30M","-0.59%"
"12/02/2023","0.3970","0.3839","0.3971","0.3826","114.94M","3.43%"
"12/01/2023","0.3839","0.3757","0.3851","0.3736","100.91M","2.17%"
"11/30/2023","0.3757","0.3817","0.3825","0.3718","110.15M","-1.55%"
"11/29/2023","0.3817","0.3853","0.3885","0.3776","125.68M","-0.94%"
"11/28/2023","0.3853","0.3778","0.3876","0.3694","133.60M","1.97%"
"11/27/2023","0.3778","0.3872","0.3919","0.3714","118.31M","-2.44%"
"11/26/2023","0.3873","0.3940","0.3953","0.3799","104.97M","-1.71%"
"11/25/2023","0.3940","0.3861","0.3956","0.3846","100.39M","2.07%"
"11/24/2023","0.3861","0.3870","0.3975","0.3839","155.56M","-0.26%"
"11/23/2023","0.3870","0.3802","0.3871","0.3764","114.39M","1.80%"
"11/22/2023","0.3802","0.3568","0.3872","0.3558","141.54M","6.53%"
"11/21/2023","0.3569","0.3803","0.3897","0.3559","223.34M","-6.16%"
"11/20/2023","0.3803","0.3841","0.3990","0.3782","172.54M","-0.99%"
"11/19/2023","0.3841","0.3772","0.3856","0.3690","151.17M","1.83%"
"11/18/2023","0.3772","0.3672","0.3776","0.3494","194.15M","2.73%"
"11/17/2023","0.3672","0.3708","0.3781","0.3533","223.72M","-1.00%"
"11/16/2023","0.3709","0.3786","0.4093","0.3599","416.01M","-2.06%"
"11/15/2023","0.3787","0.3578","0.3793","0.3537","217.58M","5.85%"
"11/14/2023","0.3578","0.3569","0.3716","0.3421","227.96M","0.24%"
"11/13/2023","0.3569","0.3834","0.3884","0.3542","235.33M","-6.93%"
"11/12/2023","0.3835","0.3844","0.3910","0.3716","226.06M","-0.23%"
"11/11/2023","0.3844","0.3860","0.3948","0.3699","291.62M","-0.50%"
"11/10/2023","0.3863","0.3682","0.3879","0.3637","287.97M","4.94%"
"11/09/2023","0.3682","0.3577","0.3859","0.3456","359.39M","2.91%"
"11/08/2023","0.3578","0.3513","0.3601","0.3488","180.01M","1.84%"
"11/07/2023","0.3513","0.3624","0.3654","0.3342","231.76M","-3.04%"
"11/06/2023","0.3623","0.3419","0.3755","0.3376","188.42M","6.02%"
"11/05/2023","0.3417","0.3278","0.3498","0.3261","155.78M","4.25%"
"11/04/2023","0.3278","0.3291","0.3302","0.3209","136.87M","-0.41%"
"11/03/2023","0.3291","0.3230","0.3291","0.3115","223.11M","1.92%"
"11/02/2023","0.3230","0.3073","0.3291","0.2995","312.37M","5.11%"
"11/01/2023","0.3073","0.2930","0.3086","0.2844","263.36M","4.85%"
"10/31/2023","0.2930","0.3030","0.3046","0.2850","227.23M","-3.30%"
"10/30/2023","0.3030","0.2954","0.3031","0.2921","171.60M","2.59%"
"10/29/2023","0.2954","0.2910","0.2986","0.2885","89.66M","1.48%"
"10/28/2023","0.2911","0.2893","0.2974","0.2887","99.06M","0.60%"
"10/27/2023","0.2893","0.2872","0.2924","0.2808","133.19M","0.76%"
"10/26/2023","0.2872","0.2808","0.2972","0.2801","217.04M","2.27%"
"10/25/2023","0.2808","0.2791","0.2898","0.2764","188.83M","0.59%"
"10/24/2023","0.2791","0.2806","0.2938","0.2744","271.68M","-0.50%"
"10/23/2023","0.2806","0.2639","0.2808","0.2618","219.40M","6.32%"
"10/22/2023","0.2639","0.2586","0.2643","0.2563","65.62M","2.05%"
"10/21/2023","0.2586","0.2512","0.2626","0.2495","78.72M","2.95%"
"10/20/2023","0.2512","0.2469","0.2530","0.2454","80.90M","1.76%"
"10/19/2023","0.2469","0.2430","0.2469","0.2399","102.40M","1.60%"
"10/18/2023","0.2430","0.2464","0.2479","0.2423","97.88M","-1.41%"
"10/17/2023","0.2464","0.2512","0.2518","0.2454","135.47M","-1.91%"
"10/16/2023","0.2512","0.2473","0.2593","0.2472","155.64M","1.60%"
"10/15/2023","0.2473","0.2470","0.2484","0.2454","50.31M","0.12%"
"10/14/2023","0.2470","0.2459","0.2477","0.2449","51.72M","0.46%"
"10/13/2023","0.2458","0.2460","0.2497","0.2449","74.58M","-0.07%"
"10/12/2023","0.2460","0.2480","0.2480","0.2429","58.25M","-0.80%"
"10/11/2023","0.2480","0.2491","0.2496","0.2452","82.69M","-0.44%"
"10/10/2023","0.2491","0.2513","0.2531","0.2469","70.12M","-0.87%"
"10/09/2023","0.2513","0.2564","0.2586","0.2490","98.47M","-2.01%"
"10/08/2023","0.2564","0.2587","0.2591","0.2553","47.92M","-0.87%"
"10/07/2023","0.2587","0.2646","0.2657","0.2567","78.48M","-2.24%"
"10/06/2023","0.2646","0.2602","0.2669","0.2602","47.34M","1.73%"
"10/05/2023","0.2601","0.2590","0.2639","0.2566","55.59M","0.41%"
"10/04/2023","0.2590","0.2610","0.2612","0.2535","118.36M","-0.75%"
"10/03/2023","0.2610","0.2591","0.2645","0.2576","168.97M","0.72%"
"10/02/2023","0.2591","0.2658","0.2695","0.2578","235.76M","-2.50%"
"10/01/2023","0.2658","0.2540","0.2677","0.2537","164.48M","4.66%"
"09/30/2023","0.2540","0.2494","0.2548","0.2490","124.87M","1.81%"
"09/29/2023","0.2494","0.2489","0.2559","0.2477","215.45M","0.22%"
"09/28/2023","0.2489","0.2446","0.2507","0.2433","162.00M","1.74%"
"09/27/2023","0.2446","0.2454","0.2481","0.2426","121.06M","-0.30%"
"09/26/2023","0.2454","0.2459","0.2478","0.2434","96.27M","-0.22%"
"09/25/2023","0.2459","0.2428","0.2461","0.2415","100.85M","1.28%"
"09/24/2023","0.2428","0.2461","0.2462","0.2419","33.23M","-1.34%"
"09/23/2023","0.2461","0.2449","0.2468","0.2437","28.51M","0.49%"
"09/22/2023","0.2449","0.2450","0.2464","0.2427","82.88M","-0.04%"
"09/21/2023","0.2450","0.2517","0.2531","0.2449","62.90M","-2.66%"
"09/20/2023","0.2517","0.2548","0.2564","0.2502","57.52M","-1.22%"
"09/19/2023","0.2548","0.2515","0.2575","0.2509","57.65M","1.31%"
"09/18/2023","0.2515","0.2471","0.2558","0.2445","76.09M","1.78%"
"09/17/2023","0.2471","0.2503","0.2512","0.2445","44.91M","-1.28%"
"09/16/2023","0.2503","0.2506","0.2538","0.2484","38.61M","-0.12%"
"09/15/2023","0.2506","0.2513","0.2548","0.2452","73.14M","-0.28%"
"09/14/2023","0.2513","0.2486","0.2524","0.2465","53.68M","1.08%"
"09/13/2023","0.2486","0.2454","0.2498","0.2435","46.70M","1.31%"
"09/12/2023","0.2454","0.2421","0.2518","0.2409","61.08M","1.36%"
"09/11/2023","0.2421","0.2490","0.2496","0.2369","81.75M","-2.77%"
"09/10/2023","0.2490","0.2533","0.2533","0.2448","89.48M","-1.69%"
"09/09/2023","0.2533","0.2544","0.2558","0.2532","20.12M","-0.43%"
"09/08/2023","0.2544","0.2580","0.2594","0.2528","58.49M","-1.39%"
"09/07/2023","0.2580","0.2577","0.2593","0.2531","68.11M","0.11%"
"09/06/2023","0.2577","0.2578","0.2605","0.2528","62.81M","-0.04%"
"09/05/2023","0.2578","0.2561","0.2587","0.2541","43.69M","0.66%"
"09/04/2023","0.2561","0.2558","0.2598","0.2538","44.62M","0.11%"
"09/03/2023","0.2558","0.2562","0.2567","0.2532","66.13M","-0.12%"
"09/02/2023","0.2562","0.2551","0.2573","0.2537","91.05M","0.43%"
"09/01/2023","0.2551","0.2554","0.2588","0.2520","130.82M","-0.13%"
"08/31/2023","0.2554","0.2654","0.2664","0.2503","152.40M","-3.78%"
"08/30/2023","0.2654","0.2726","0.2728","0.2608","170.97M","-2.62%"
"08/29/2023","0.2726","0.2676","0.2795","0.2602","274.11M","1.83%"
"08/28/2023","0.2676","0.2634","0.2678","0.2582","99.52M","1.61%"
"08/27/2023","0.2634","0.2610","0.2653","0.2601","110.04M","0.94%"
"08/26/2023","0.2610","0.2612","0.2618","0.2581","107.94M","-0.11%"
"08/25/2023","0.2612","0.2659","0.2706","0.2592","185.80M","-1.74%"
"08/24/2023","0.2659","0.2681","0.2713","0.2624","129.29M","-0.82%"
"08/23/2023","0.2681","0.2585","0.2698","0.2581","154.33M","3.69%"
"08/22/2023","0.2585","0.2629","0.2632","0.2505","171.30M","-1.64%"
"08/21/2023","0.2628","0.2704","0.2724","0.2597","139.68M","-2.80%"
"08/20/2023","0.2704","0.2687","0.2728","0.2648","78.26M","0.64%"
"08/19/2023","0.2687","0.2639","0.2696","0.2605","62.41M","1.83%"
"08/18/2023","0.2639","0.2552","0.2673","0.2549","145.39M","3.39%"
"08/17/2023","0.2552","0.2748","0.2783","0.2396","213.26M","-7.12%"
"08/16/2023","0.2748","0.2822","0.2829","0.2667","132.79M","-2.62%"
"08/15/2023","0.2822","0.2906","0.2910","0.2774","81.14M","-2.91%"
"08/14/2023","0.2906","0.2896","0.2927","0.2874","45.51M","0.35%"
"08/13/2023","0.2896","0.2919","0.2935","0.2874","55.39M","-0.79%"
"08/12/2023","0.2919","0.2933","0.2946","0.2908","40.43M","-0.48%"
"08/11/2023","0.2933","0.2964","0.2975","0.2924","50.37M","-1.02%"
"08/10/2023","0.2964","0.3013","0.3017","0.2960","117.64M","-1.65%"
"08/09/2023","0.3013","0.2975","0.3022","0.2962","126.78M","1.28%"
"08/08/2023","0.2975","0.2910","0.3024","0.2897","173.64M","2.25%"
"08/07/2023","0.2910","0.2922","0.2959","0.2828","140.41M","-0.44%"
"08/06/2023","0.2922","0.2938","0.2958","0.2907","95.23M","-0.54%"
"08/05/2023","0.2938","0.2935","0.2941","0.2903","97.61M","0.12%"
"08/04/2023","0.2935","0.2925","0.2971","0.2908","122.31M","0.34%"
"08/03/2023","0.2925","0.2994","0.3014","0.2901","176.06M","-2.31%"
"08/02/2023","0.2994","0.3103","0.3120","0.2984","126.09M","-3.51%"
"08/01/2023","0.3103","0.3070","0.3104","0.2976","119.52M","1.06%"
"07/31/2023","0.3070","0.3157","0.3185","0.3064","96.09M","-2.75%"
"07/30/2023","0.3157","0.3129","0.3180","0.3056","87.76M","0.89%"
"07/29/2023","0.3129","0.3099","0.3144","0.3088","79.42M","0.98%"
"07/28/2023","0.3099","0.3077","0.3130","0.3063","69.46M","0.71%"
"07/27/2023","0.3077","0.3069","0.3132","0.3056","84.06M","0.26%"
"07/26/2023","0.3069","0.3036","0.3106","0.3005","120.79M","1.07%"
"07/25/2023","0.3036","0.3053","0.3077","0.3016","92.39M","-0.53%"
"07/24/2023","0.3053","0.3171","0.3189","0.3006","134.34M","-3.72%"
