Date,Bitcoin,transactions_count,average_transaction_value,average_fee,address_count
2018-07-01,6366.8,156247,5.490049992,0.0001074766,326089
2018-07-02,6619.5,199294,5.002204581,0.0001178191,444107
2018-07-03,6513.5,216747,4.898527125,0.0001287335,452632
2018-07-04,6598.4,206788,4.298247315,0.0001041866,407761
2018-07-05,6546.5,199600,5.167851269,9.90281e-05,359493
2018-07-06,6617.7,200993,4.811357942,0.00010797799999999999,370087
2018-07-07,6765.5,170160,3.5807703,9.737709999999999e-05,301936
2018-07-08,6714.8,155685,4.816262859,0.0001004901,319576
2018-07-09,6667.1,206546,5.072438728,9.647280000000001e-05,432079
2018-07-10,6307.2,216063,5.428770197,0.0001058058,468920
2018-07-11,6389.1,202603,4.162811727,0.0001008993,433826
2018-07-12,6250.6,203535,4.028282667,9.1548e-05,771409
2018-07-13,6230.2,207904,4.25691847,9.39623e-05,718880
2018-07-14,6254.8,176475,4.188756023,8.50695e-05,645664
2018-07-15,6362.9,161151,4.6320792,9.48068e-05,362518
2018-07-16,6729.9,207842,5.844030371000001,0.00011361,394719
2018-07-17,7322.0,233966,4.536061408,0.0001066056,491571
2018-07-18,7383.6,238769,4.75844741,0.0001332949,570026
2018-07-19,7477.5,225039,4.285378523,0.0001280997,449066
2018-07-20,7339.4,225529,4.047427109,0.0001023717,436568
2018-07-21,7408.7,184803,3.467346809,9.403629999999999e-05,340737
2018-07-22,7412.3,167129,3.479027289,8.83887e-05,287640
2018-07-23,7723.0,229480,4.227229503999999,0.0001138257,515864
2018-07-24,8407.0,259358,4.562336022,0.0001142936,484997
2018-07-25,8173.7,250208,3.978592723,0.0001072075,546412
2018-07-26,7937.0,231679,3.795518645,0.0001030746,429982
2018-07-27,8187.4,229397,4.247973784,9.03414e-05,473558
2018-07-28,8234.1,188238,3.4918788810000003,8.89768e-05,386262
2018-07-29,8215.6,168407,3.9163699089999997,9.305299999999999e-05,305206
2018-07-30,8177.1,230924,3.783314538,0.0001064328,428778
2018-07-31,7729.4,242977,3.5831933589999996,0.0001052897,485256
2018-08-01,7606.4,241044,3.751802681,8.829629999999999e-05,489921
2018-08-02,7535.6,224873,4.089688152,0.00011210340000000001,435881
2018-08-03,7419.0,229859,4.269930418,0.00010099620000000001,439147
2018-08-04,7014.3,191657,5.03438158,8.97151e-05,349563
2018-08-05,7027.1,172181,5.931235782000001,7.91605e-05,321118
2018-08-06,6943.6,218607,5.75746892,8.119819999999999e-05,453932
2018-08-07,6724.9,233045,4.879725339,7.98787e-05,509488
2018-08-08,6283.6,235311,5.637449796,8.81848e-05,436194
2018-08-09,6538.8,222326,5.023638756,9.33323e-05,433443
2018-08-10,6152.3,226148,4.300294018,9.027059999999999e-05,450911
2018-08-11,6231.6,192438,4.1529909410000005,7.997640000000001e-05,364597
2018-08-12,6313.0,165044,3.6648903880000003,7.740520000000001e-05,315390
2018-08-13,6255.3,222229,4.1376147869999995,8.96409e-05,419156
2018-08-14,6190.2,247622,4.725909242,0.00010683959999999999,447292
2018-08-15,6256.9,246066,4.2770224930000005,9.007049999999999e-05,441381
2018-08-16,6306.7,232335,3.915994235,0.0001035044,422226
2018-08-17,6581.7,233794,3.680560463,0.0001064366,451325
2018-08-18,6379.1,190935,3.484919372,8.61723e-05,333867
2018-08-19,6481.5,167400,3.5705935380000002,0.00010182709999999999,324034
2018-08-20,6268.1,214983,3.993317928,0.0001352309,435257
2018-08-21,6482.2,217777,4.7769365839999995,0.00011365879999999999,397816
2018-08-22,6359.6,230333,3.9289959039999998,0.00010538729999999999,429124
2018-08-23,6521.2,217352,4.025886052,8.883459999999998e-05,377407
2018-08-24,6680.4,219848,3.441810603,8.71218e-05,427494
2018-08-25,6734.8,196420,3.35470318,0.0001072351,377445
2018-08-26,6712.7,172747,2.9746416719999997,0.0001609464,348720
2018-08-27,6897.6,223656,4.349983996000001,0.0001460091,470142
2018-08-28,7074.6,238039,7.970624692,0.0001899414,466704
2018-08-29,7029.1,237508,3.789852385,9.95652e-05,457125
2018-08-30,6993.7,231391,3.6875002639999996,0.00010415709999999999,435117
2018-08-31,7033.8,237076,6.507447742,0.0001065324,445783
2018-09-01,7189.6,213331,4.128055129,9.00559e-05,388290
2018-09-02,7293.9,187145,4.4161803310000005,8.7116e-05,320520
2018-09-03,7264.2,222897,4.142708004,8.935059999999999e-05,423714
2018-09-04,7377.5,232265,4.028850243,0.0001037889,431982
2018-09-05,6706.8,246477,3.902496401,0.000129129,457208
2018-09-06,6514.0,252261,5.04175582,0.0001240384,469471
2018-09-07,6390.9,230790,4.70064868,0.0001209842,459678
2018-09-08,6184.3,204428,3.5098611560000004,9.205870000000001e-05,376024
2018-09-09,6238.5,188912,3.8041479189999996,9.72426e-05,340071
2018-09-10,6321.0,222866,3.8598290489999996,8.96285e-05,423535
2018-09-11,6293.9,237571,3.8777249,9.79695e-05,457060
2018-09-12,6338.0,233275,3.751128102,0.000102516,417001
2018-09-13,6482.9,234209,4.78131905,8.66663e-05,427056
2018-09-14,6483.7,223250,3.40036444,9.50456e-05,424131
2018-09-15,6519.0,211071,3.409460877,7.43823e-05,379869
2018-09-16,6500.2,179483,3.831098705,7.282109999999999e-05,306796
2018-09-17,6251.9,240152,4.492008746000001,7.26943e-05,420369
2018-09-18,6342.0,244259,4.205991532,7.78423e-05,441315
2018-09-19,6390.4,251037,3.725681872,6.809100000000001e-05,437180
2018-09-20,6489.2,253674,3.57724643,7.198979999999999e-05,437664
2018-09-21,6766.7,273051,4.331676877,9.38015e-05,500079
2018-09-22,6729.6,225537,3.3153389339999997,8.271799999999999e-05,386567
2018-09-23,6704.1,200319,2.621175745,7.22716e-05,331593
2018-09-24,6584.1,237670,3.311597087,6.5252e-05,410539
2018-09-25,6445.1,252113,5.4163574820000004,8.05884e-05,442407
2018-09-26,6468.1,243927,4.381514224,8.254049999999999e-05,433853
2018-09-27,6689.2,248686,3.641676645,9.511389999999999e-05,439526
2018-09-28,6636.0,254239,4.236609378,0.0001137444,454363
2018-09-29,6603.9,218339,3.445627682,8.75101e-05,366674
2018-09-30,6635.2,208210,3.072519715,7.409800000000001e-05,346047
2018-10-01,6608.2,242820,3.3857913689999997,8.987459999999999e-05,469104
2018-10-02,6549.9,244772,5.1154070869999995,0.0001050884,474469
2018-10-03,6507.8,242303,3.2596715069999997,8.81726e-05,410749
2018-10-04,6584.2,243157,3.4652972639999997,7.69427e-05,409269
2018-10-05,6639.1,244719,3.0157506360000004,8.718870000000001e-05,438778
2018-10-06,6596.3,214843,2.85510907,8.18214e-05,392125
2018-10-07,6611.0,219731,2.271845856,5.94669e-05,424852
2018-10-08,6669.6,248041,3.3409426019999997,6.77146e-05,449776
2018-10-09,6650.8,235862,3.175638759,7.06613e-05,425197
2018-10-10,6618.0,244945,4.24561264,6.38263e-05,434139
2018-10-11,6239.1,262467,4.038366768,7.01696e-05,484680
2018-10-12,6291.3,243174,4.594728114,7.58546e-05,488689
2018-10-13,6321.7,205097,3.3343706930000003,6.47731e-05,402089
2018-10-14,6326.8,191259,3.45883811,6.492689999999999e-05,359825
2018-10-15,6699.8,266945,4.805334633999999,8.651979999999999e-05,490746
2018-10-16,6705.3,257967,3.204242132,7.489109999999999e-05,479235
2018-10-17,6686.6,260362,3.4279519389999997,7.23995e-05,477054
2018-10-18,6574.1,253450,3.882940275,7.12537e-05,459060
2018-10-19,6512.0,253826,3.78300355,6.95703e-05,478913
2018-10-20,6572.2,227821,2.955938082,6.28787e-05,420123
2018-10-21,6583.0,211505,2.540120413,5.893020000000001e-05,379610
2018-10-22,6555.8,255324,3.4302183760000005,6.54052e-05,469225
2018-10-23,6528.7,253463,4.010964679,6.5427e-05,471798
2018-10-24,6530.7,254091,3.9456402969999997,6.66757e-05,425269
2018-10-25,6507.0,254599,3.965289634,6.889239999999999e-05,460892
2018-10-26,6510.0,253002,3.2611467989999996,7.08101e-05,482428
2018-10-27,6494.2,233749,2.464360765,5.6028100000000007e-05,409552
2018-10-28,6486.1,219860,2.376771071,7.51111e-05,382562
