,date_day,transactions_count,average_transaction_value,average_fee,address_count
0,25/04/2022,277417,2915891765,4620.82,661219
1,12/09/2021,192691,2329416774,4445.43,425250
2,17/04/2022,207324,1612003968,2576.47,451184
3,8/10/2018,248041,334094260.2,6771.46,449776
4,7/01/2021,401744,684829820,30345.88,738186
5,31/12/2018,259684,327280185.9,6126.07,382687
6,10/04/2022,216446,1569627644,3155.38,457481
7,3/02/2019,300171,230285177.8,4911.61,350045
8,25/07/2019,336536,588432968.7,16688.11,517919
9,3/03/2023,355273,267688753.3,7850.33,681895
10,6/12/2021,284467,1916209918,4565.63,693695
11,12/02/2019,271573,1169676646,12636.02,592770
12,19/03/2021,316180,388648415.4,36795.32,674945
13,6/10/2023,298650,354940362.7,14252.95,585537
14,16/01/2023,302804,273550454.1,3402.09,656781
15,21/08/2021,219407,1105576777,5205.1,493347
16,22/08/2019,322453,3635748528,16746.25,524026
17,22/04/2020,278755,310483250.7,9102.37,446013
18,24/10/2020,306774,606396847.3,30590.02,738183
19,21/08/2023,550074,184945992.9,3013.39,643231
20,7/08/2020,326499,313129833.4,42024.36,684181
21,29/06/2022,265079,1746033877,5083.22,607363
22,30/05/2023,515246,196380406.9,15500.71,631437
23,25/05/2019,338398,233993259.8,37860.39,464432
24,19/12/2018,302392,505185954.8,10889.7,502238
25,6/05/2021,311380,580997301.4,35172.62,788083
26,5/02/2022,258646,1365320604,5462.19,577548
27,22/11/2019,310539,506320693.5,12887.58,520864
28,7/08/2022,196161,634997271,5660.34,453885
29,29/11/2023,360588,243224690.1,17654.88,599409
30,9/12/2019,313629,379132004.7,6957.49,529656
31,21/01/2020,315210,211455802.9,6509.64,512576
32,2/03/2023,330047,247952232.5,7253.06,559872
33,3/07/2023,328114,283004283.4,7767.94,637929
34,1/09/2021,280865,1471360164,6316.86,601081
35,11/05/2020,305839,380612017.1,28970.94,653335
36,16/11/2018,283124,404137991.6,13042.8,469214
37,18/08/2018,190935,348491937.2,8617.23,333867
38,22/05/2021,223800,1056155434,45746.81,543814
39,29/10/2021,305733,1014632927,5120.86,641638
40,20/05/2019,381582,319639072.8,48770.62,531758
41,21/11/2023,522593,183802839.6,32997.8,658976
42,9/10/2023,283648,264009966.3,7008.54,677816
43,12/01/2023,315980,343222177.3,5226.77,714803
44,23/03/2019,251573,302479727.4,7134.65,386794
45,13/08/2019,370747,345607235,20253.83,607454
46,23/10/2019,349320,381617615.4,8894.54,498897
47,15/03/2021,292231,446375846.3,38663.05,683870
48,19/06/2023,415604,230337651.2,7515.97,626522
49,13/12/2019,322888,222602763.4,6959.43,489108
50,31/10/2023,433751,182966811.1,4204.97,719903
51,24/07/2021,198091,758488953.5,6470.23,454029
52,29/04/2022,286563,1874547680,4754.7,668236
53,20/02/2023,270081,258344966.3,6619.13,604582
54,15/07/2018,161151,463207920,9480.68,362518
55,23/01/2022,203986,2801977829,3767.23,455675
56,12/08/2019,297446,373117020.4,16992.53,415018
57,12/04/2022,278839,1802417648,3842.57,639005
58,14/03/2020,279828,407342157.4,18892.5,507588
59,5/09/2021,205066,1060012218,5110.93,450992
60,25/01/2023,306681,276148779.4,4221.56,618303
61,20/09/2021,270233,2073315382,5138.87,691662
62,20/10/2020,330563,1270629815,23215.61,604965
63,27/08/2018,223656,434998399.6,14600.91,470142
64,6/11/2021,236233,1841216362,4557.04,486613
65,20/07/2022,260195,989432035.7,9855.56,575950
66,3/06/2021,255621,478359982.3,19513.5,664762
67,2/01/2023,229347,299376492.8,3847.57,574530
68,26/02/2020,329967,266409897.8,8879.41,516535
69,23/11/2022,273997,463881993.8,10529.26,695731
70,12/11/2020,324855,603732563.9,31660.35,682307
71,24/01/2022,270712,2493011174,4298.87,636673
72,3/08/2020,333753,338859061,38999.86,721520
73,14/04/2019,337030,298459613.3,17038.17,394824
74,21/11/2021,222949,1608800596,4140.23,543592
75,8/05/2019,393081,325992898.3,28571.12,555566
76,7/05/2022,231623,1855826367,5949.87,489969
77,17/10/2020,275069,881118197.4,12882.03,540163
78,22/03/2023,297575,352897690.2,11879.84,570385
79,23/08/2022,256928,2016349952,4472.1,642567
80,5/06/2023,359254,427583615.1,16144.89,554988
81,24/03/2020,278131,501609650.7,16087.23,474028
82,17/09/2021,271040,1287299252,5527.19,616924
83,29/09/2023,330269,269259138.1,8890.68,704563
84,19/10/2022,263517,890025541.7,6348.73,627084
85,9/03/2021,299682,650955374.1,35082.9,625189
86,13/11/2020,300040,526119193.4,33517.74,622047
87,8/06/2019,294369,315852669,24922.71,407473
88,20/08/2020,333683,553235290.8,39153.09,614902
89,29/04/2020,331401,541986167.3,15608.46,552986
90,19/03/2020,265689,496567922.9,25765.84,439292
91,20/08/2023,612461,98447639.53,2446.68,666684
92,10/12/2020,313649,626793048.9,23221.14,608064
93,21/05/2023,486625,109231152.4,14683.98,507666
94,14/04/2021,297494,613612112.4,45777.37,622746
95,2/07/2019,373409,393364113.9,31571.17,587653
96,9/07/2023,594265,121308591.2,2218.57,712890
97,15/04/2020,310253,282396781.1,8555.67,646431
98,10/01/2019,327338,355534516.6,7895.55,436173
99,2/06/2022,264901,850928370.7,7371,611771
100,21/01/2019,315202,492841508.8,6319.46,395630
101,5/01/2023,279391,314948302.9,5108,621190
102,19/04/2023,301722,260381285,6928.87,661429
103,25/06/2020,312183,380398766.8,12839.69,574088
104,26/10/2018,253002,326114679.9,7081.01,482428
105,17/07/2023,428612,201805209.3,4018.31,627680
106,25/01/2022,265128,2140800010,4093.23,560614
107,19/11/2022,260694,455888673.2,10378.38,773020
108,22/08/2021,190631,949262015.6,6098.79,460505
109,13/03/2022,208092,1667827709,3254.26,464080
110,10/01/2023,302809,322257913.7,3685.32,843400
111,13/05/2023,575640,91547970.64,18898.96,408561
112,16/12/2021,256206,1350196433,4086.83,494408
113,23/06/2021,232704,783343643.2,24083.43,497730
114,23/09/2021,268689,1625817094,5129.69,573398
115,23/02/2023,290728,288753315.8,6543.27,769401
116,4/04/2022,275106,1287716719,4562.26,626315
117,2/10/2022,213646,560529202.4,4227.45,564431
118,27/06/2022,258883,1151570486,5558.43,657011
119,16/02/2020,292236,329206152.5,7391.07,424646
120,11/06/2020,332490,301071315.7,11607.08,726867
121,29/11/2022,271512,347366587,8562.31,650678
122,31/07/2020,356906,284072160,48093.22,670339
123,6/09/2021,268877,1325254936,6398.22,651084
124,29/10/2019,307953,487332990.2,11518.07,486435
125,4/06/2023,364020,264279579.9,10574.11,613644
126,10/05/2019,322963,421211251.2,38315.11,469099
127,28/12/2021,265422,1234452079,6729.16,648425
128,8/11/2022,295778,719358536.9,7396.94,725038
129,20/01/2022,271265,1302044361,3665.65,587060
130,1/12/2023,496468,208242109.9,19975.48,716680
131,7/02/2022,262034,1801657799,5551.12,568471
132,15/10/2021,297746,1293094000,6813.16,616915
133,4/03/2021,289631,524287613.9,39000.46,574630
134,11/09/2020,308323,1015436301,30866.04,611803
135,1/11/2021,293282,1106997631,5219.78,702718
136,22/09/2019,318713,536595856.6,6440.68,368331
137,25/01/2020,285584,170430855.8,3989.46,439922
138,6/04/2019,359569,215513034.6,22484.58,463366
139,6/05/2022,286887,2941956034,5912.3,704058
140,4/06/2021,236672,434621695,17890.31,581117
141,28/09/2019,314433,213634929.5,7367.19,416026
142,10/11/2019,299712,228090564.1,7963.12,375403
143,29/10/2018,269754,299773598.7,7267.43,488375
144,2/01/2022,196865,1140762926,4702.47,441880
145,20/09/2019,340929,255941637.6,9397.28,480783
146,8/02/2019,335280,875491814.5,6236.74,465405
147,23/02/2022,251275,1431993723,3210.48,535787
148,29/01/2022,231038,1692828748,5337.22,508546
149,10/12/2018,258353,413961052.7,8892.03,424356
150,3/11/2022,297039,1154147346,6369.81,680936
151,15/08/2023,583063,137521560.4,3132.21,745908
152,4/04/2021,246007,470798651.3,27314.79,678629
153,31/10/2022,284125,739730741.2,5423.16,675491
154,24/08/2019,304481,148462528.4,9882.72,489066
155,9/02/2023,369499,223961391.1,5832.51,668252
156,14/01/2021,338809,571083206.1,41738.21,681961
157,24/02/2019,320446,297204781.5,9223.21,377313
158,15/08/2019,355644,422027108.1,15140.98,473646
159,12/05/2020,345215,349108266.8,31809.72,615633
160,6/05/2019,378476,306161459.7,20162.89,511630
161,2/12/2023,429362,175063758,14807.68,500088
162,24/06/2023,361437,201671022.3,9336.5,720523
163,17/02/2022,255573,1434258060,3880.66,575554
164,24/08/2020,329133,566378644.7,23835.23,573198
165,25/12/2022,205314,279983194.3,6676.68,501615
166,22/01/2021,323868,617879592,35391.8,651145
167,15/09/2023,703692,122448034.7,4635.26,877942
168,17/03/2022,278800,1473632741,3769.34,640608
169,9/09/2018,188912,380414791.9,9724.26,340071
170,27/08/2019,325984,275333424,10424.86,484325
171,7/12/2020,300906,516445691.8,22751.46,636463
172,10/02/2023,300092,460446504.4,8951.46,520213
173,9/11/2020,326383,656887219.9,43555.73,843450
174,8/12/2023,411456,240180561,37075.71,574486
175,4/10/2021,268955,1382461903,5100.98,702928
176,24/04/2020,320055,394985891.5,11579.75,575945
177,6/02/2023,301977,222248984.3,6102.32,579986
178,23/11/2020,297840,754377589.8,18985.31,614210
179,11/07/2018,202603,416281172.7,10089.93,433826
180,19/06/2022,199777,2525585993,6441.18,468801
181,7/07/2020,345975,286650250.4,11772.29,617317
182,14/08/2018,247622,472590924.2,10683.96,447292
183,14/04/2023,315959,325639456.5,8779.53,663954
184,1/01/2022,186834,1240105838,4984.77,411035
185,19/05/2019,346859,256942702.8,36230.08,492656
186,26/05/2021,230753,963279803.5,33735.92,570920
187,21/10/2021,320743,1359816935,6321.84,760647
188,26/11/2022,229735,345883778.2,10297.12,579643
189,23/11/2019,306424,329363068,7032.1,453025
190,7/05/2021,307988,630094761.9,33886.99,761910
191,1/08/2021,185157,1777067228,5191.71,415714
192,16/11/2019,283468,244681787.4,8090.28,436391
193,29/09/2022,267342,1038484043,5564.55,579098
194,16/11/2020,311477,1161935782,26794.18,663155
195,9/01/2020,322057,375175228.7,9247.18,527305
196,3/01/2023,272055,303694767.4,4678.4,681745
197,2/04/2023,341622,220439557.2,7162.07,692435
198,22/02/2022,260265,1828393797,3516.61,570063
199,2/05/2023,457708,146938398.4,24937.56,462039
200,30/07/2018,230924,378331453.8,10643.28,428778
201,28/07/2020,354742,357894880.3,52875.44,641602
202,22/05/2020,278784,353961190.9,56904.1,484961
203,15/03/2019,296970,460395859.6,10480.68,481249
204,24/01/2020,313887,220246972.3,5129.5,501427
205,25/07/2021,174535,839112933.2,5576.83,413455
206,1/11/2018,281941,328258045,6192.57,478043
207,26/06/2021,181628,977563467,16194.38,433947
208,18/10/2023,271345,303682208.4,7041.6,629808
209,7/09/2023,537939,129333430.6,5868.72,691069
210,16/02/2021,296388,848745772.9,40495.79,552393
211,27/10/2022,267995,990146305,6477.56,592308
212,22/06/2022,255472,1270934026,6636.81,573696
213,7/02/2021,286364,715354739.3,29574.55,730979
214,11/08/2021,262437,859946843.3,5054.04,548125
215,11/12/2018,251487,489223786.3,9272.45,437430
216,16/07/2022,226638,1204537033,8064.74,506765
217,21/08/2022,205435,1088731118,3856.5,495485
218,15/11/2021,288435,1513323987,4389.23,713178
219,20/11/2022,229923,710571476.8,8455.52,722799
220,22/08/2018,230333,392899590.4,10538.73,429124
221,17/05/2021,250910,1031463602,30365.1,577490
222,3/04/2021,281717,476686749.1,29795.46,616025
223,24/11/2019,267368,307886233.8,6363.78,344907
224,28/08/2019,341200,260346607.1,9926.82,468655
225,28/02/2019,367827,418573362.5,8236.46,478517
226,3/05/2020,281752,258476464.1,20330.05,627935
227,29/01/2019,326162,479831610.9,7097.64,428381
228,26/06/2022,206755,663861660.1,6161.71,417990
229,19/08/2018,167400,357059353.8,10182.71,324034
230,1/05/2020,340574,315643863.8,32356.16,583302
231,26/04/2019,381209,391821645.8,23988.8,501404
232,21/12/2021,304713,889427512.4,3904.07,610321
233,5/09/2023,462093,153678696.5,5279.65,581328
234,20/09/2020,259095,911022876.5,12740.43,529030
235,21/05/2022,225225,677678010.5,5341.68,485395
236,16/04/2023,232268,273053328.9,6866.18,552896
237,20/02/2022,200535,1702017102,2856.32,441421
238,19/08/2023,519780,127605607.8,3212.78,594851
239,18/05/2023,476704,175014616,22424.85,492493
240,19/02/2023,240406,207078959.4,6402.62,638814
241,31/07/2022,209042,749630886,5236.5,490823
242,30/10/2018,283327,299763348.4,6625.35,481580
243,26/01/2023,296263,264465060.3,4082.87,599794
244,9/04/2020,286706,384385206.9,8125.38,466059
245,20/10/2023,295888,345860352.7,6807.74,600937
246,10/08/2021,260968,704250682.4,5348.4,572234
247,8/03/2021,291955,671417388.8,31014.11,753577
248,3/04/2023,332870,319784375.5,8323.12,616091
249,27/08/2023,413594,190251335.2,3257.29,548131
250,17/01/2020,323992,344215823.3,7498.1,509933
251,10/08/2018,226148,430029401.8,9027.06,450911
252,21/06/2022,254438,1641986403,6410.67,602292
