date_day,transactions_count,average_transaction_value,average_fee,address_count,Block Reward
2018-10-10,244945,424561263.990000000,6382.630000000,434139,12.5
2023-08-23,417822,254559427.530000000,4626.270000000,620874,6.25
2019-02-23,328239,303504192.150000000,7750.270000000,377154,12.5
2022-01-17,258141,1441068931.640000000,3521.120000000,633295,6.25
2021-06-18,222918,698110832.140000000,13936.030000000,512627,6.25
2021-07-07,221227,599228301.330000000,17108.280000000,505776,6.25
2020-03-25,218176,409601179.840000000,20809.700000000,336359,12.5
2021-04-30,289389,791782729.520000000,49482.160000000,705075,6.25
2023-01-29,258583,221393369.840000000,3273.130000000,536549,6.25
2019-12-21,311118,217116651.690000000,5338.610000000,395206,12.5
2023-10-10,285060,291762779.120000000,6039.120000000,604678,6.25
2020-08-11,349952,297831387.990000000,43344.240000000,688961,6.25
2021-09-12,192691,2329416773.890000000,4445.430000000,425250,6.25
2022-04-25,277417,2915891765.230000000,4620.820000000,661219,6.25
2021-02-13,336624,452797795.590000000,42888.980000000,761905,6.25
2022-07-08,268331,1395463220.110000000,8517.570000000,620204,6.25
2021-10-05,312538,1568567250.620000000,4893.220000000,701860,6.25
2021-08-18,247333,1104129396.970000000,6231.110000000,560650,6.25
2023-12-07,372050,237377354.110000000,46895.410000000,547053,6.25
2018-09-05,246477,390249640.070000000,12912.900000000,457208,12.5
2022-12-28,272949,319658723.010000000,7575.860000000,615034,6.25
2023-11-07,450371,176190915.250000000,19556.880000000,587007,6.25
2023-05-22,499281,167556754.610000000,14214.850000000,518303,6.25
2021-02-18,316952,695063301.710000000,46616.620000000,637433,6.25
2021-12-20,266947,1110989448.900000000,4119.680000000,641292,6.25
2022-12-15,276713,374027378.410000000,7353.660000000,602843,6.25
2023-09-19,493887,173536294.190000000,9505.520000000,704068,6.25
2019-05-22,394887,296633519.740000000,44756.680000000,572886,12.5
2021-09-03,283991,1063413040.430000000,6491.000000000,675176,6.25
2020-04-11,247852,245032304.440000000,5548.690000000,397411,12.5
2023-11-17,536644,140189284.700000000,45976.570000000,646610,6.25
2022-09-11,220361,594072798.690000000,4637.330000000,578461,6.25
2021-04-11,253449,540473732.650000000,24851.750000000,676948,6.25
2021-11-13,238634,1390554531.600000000,4481.100000000,490421,6.25
2021-08-13,260624,637922719.620000000,9047.420000000,578174,6.25
2020-03-21,245896,285874659.510000000,19146.620000000,419886,12.5
2023-01-14,309880,297928852.560000000,4526.270000000,654758,6.25
2021-03-12,320744,437642854.950000000,36546.540000000,700333,6.25
2022-03-30,272864,1349043673.940000000,4094.610000000,586501,6.25
2021-07-09,227511,1506193729.900000000,11813.520000000,551592,6.25
2020-08-19,333879,565238123.200000000,44202.310000000,595276,6.25
2019-01-16,305702,326558355.480000000,8203.830000000,442841,12.5
2022-03-31,279210,1403965053.340000000,5944.970000000,582515,6.25
2019-03-09,239492,341749336.530000000,10248.450000000,388791,12.5
2019-03-04,304188,585076198.620000000,9356.030000000,465807,12.5
2019-03-30,377783,243911767.800000000,14472.260000000,459207,12.5
2023-02-04,304495,166432774.990000000,6685.070000000,641056,6.25
2021-03-07,260739,817465720.280000000,27318.660000000,674040,6.25
2022-08-30,262445,1314659492.280000000,4610.680000000,639125,6.25
2019-12-17,319254,556429446.930000000,7181.480000000,649065,12.5
2023-09-28,378975,213887575.180000000,7655.630000000,706832,6.25
2023-01-17,308715,325769539.690000000,4193.280000000,690882,6.25
2019-07-28,272974,176140116.590000000,9695.320000000,341885,12.5
2021-11-30,293876,1450644147.100000000,4301.000000000,568601,6.25
2019-05-02,452646,217535079.010000000,14296.120000000,529164,12.5
2020-08-07,326499,313129833.380000000,42024.360000000,684181,6.25
2022-06-29,265079,1746033876.880000000,5083.220000000,607363,6.25
2023-01-03,272055,303694767.380000000,4678.400000000,681745,6.25
2023-04-02,341622,220439557.210000000,7162.070000000,692435,6.25
2019-04-11,402802,468216422.440000000,28620.790000000,529061,12.5
2021-08-31,271163,1423417361.100000000,5067.210000000,581899,6.25
2023-12-19,662880,111408855.730000000,65808.980000000,516576,6.25
2020-04-13,288113,341544169.340000000,5811.540000000,518160,12.5
2020-04-28,323475,271972890.410000000,8592.910000000,625701,12.5
2023-09-06,485357,143513268.540000000,6233.330000000,689064,6.25
2018-07-21,184803,346734680.870000000,9403.630000000,340737,12.5
2020-03-16,270399,593160065.500000000,22768.670000000,461701,12.5
2019-10-02,326557,258468213.030000000,11391.650000000,464604,12.5
2023-04-22,354752,155847673.890000000,4620.230000000,610411,6.25
2022-05-13,269880,2506572065.800000000,11686.350000000,600589,6.25
2020-12-29,336311,548846492.820000000,31474.710000000,721781,6.25
2022-07-17,202157,845718975.650000000,7816.430000000,474106,6.25
2018-10-11,262467,403836676.840000000,7016.960000000,484680,12.5
2021-07-26,261950,877687564.350000000,6978.580000000,603155,6.25
2021-07-12,220269,761376316.130000000,13039.090000000,525192,6.25
2022-06-09,262105,624956180.400000000,3842.840000000,602733,6.25
2023-12-05,514962,190389135.430000000,45962.460000000,522848,6.25
2019-03-15,296970,460395859.550000000,10480.680000000,481249,12.5
2020-09-09,314864,1012911484.920000000,28328.360000000,597959,6.25
2019-12-04,337284,690410279.420000000,8759.840000000,495215,12.5
2021-06-25,218245,1089766455.030000000,20226.340000000,566805,6.25
2019-01-27,276651,265283298.950000000,5750.150000000,335309,12.5
2022-02-11,258595,1516062853.420000000,6474.570000000,603742,6.25
2019-06-17,321072,844295020.660000000,36689.530000000,488116,12.5
2023-02-12,262528,270282974.900000000,7319.550000000,533350,6.25
2019-12-07,285284,334977275.450000000,6329.340000000,442213,12.5
2021-03-04,289631,524287613.890000000,39000.460000000,574630,6.25
2021-10-08,280028,1430282477.820000000,7380.610000000,617113,6.25
2019-07-21,283934,376023407.470000000,13225.320000000,349346,12.5
2020-08-06,356612,334875621.700000000,55023.530000000,720288,6.25
2019-11-21,323954,498683178.570000000,11377.990000000,523091,12.5
2019-10-30,314163,643952122.140000000,10711.450000000,479217,12.5
2022-01-27,255925,1559657900.380000000,4552.260000000,578740,6.25
2021-06-14,242416,613402837.570000000,15535.810000000,595566,6.25
2019-03-25,322191,444358920.440000000,9063.250000000,481018,12.5
2019-06-26,399624,466642453.210000000,46059.560000000,640343,12.5
2019-05-16,375062,383192049.150000000,60927.470000000,539306,12.5
2019-02-01,339341,826579405.590000000,9757.370000000,457659,12.5
2020-09-18,325157,1164974388.990000000,21346.740000000,618122,6.25
2022-12-12,262646,330875437.360000000,4802.040000000,612498,6.25
2021-09-09,274384,1401458129.880000000,5146.220000000,574818,6.25
2018-07-18,238769,475844741.040000000,13329.490000000,570026,12.5
2019-01-18,305965,290520615.060000000,6836.720000000,412407,12.5
2023-11-16,628426,138419551.980000000,50516.060000000,578126,6.25
