Date,Bitcoin,Ethereum,Cardano,XRP,Dogecoin,Gold,SP500,Nasdaq,US_Bond
2018-07-01,6366.8,452.57,0.1421,0.46226,0.002536,1241.7,2726.71,7097.82,2.871
2018-07-02,6619.5,475.7,0.1544,0.49005,0.002735,1241.7,2726.71,7097.82,2.871
2018-07-03,6513.5,461.89,0.1498,0.48516,0.002655,1253.5,2713.22,7014.55,2.833
2018-07-04,6598.4,467.52,0.1514,0.49194,0.002688,1253.5,2713.22,7014.55,2.833
2018-07-05,6546.5,468.47,0.1475,0.47779,0.002614,1261.7,2736.61,7101.05,2.833
2018-07-06,6617.7,469.9,0.1451,0.47773,0.002636,1255.8,2759.82,7207.33,2.824
2018-07-07,6765.5,485.4,0.1478,0.4857,0.002655,1255.8,2759.82,7207.33,2.824
2018-07-08,6714.8,486.45,0.145,0.47886,0.002649,1255.8,2759.82,7207.33,2.824
2018-07-09,6667.1,471.52,0.1393,0.47383,0.002635,1259.6,2784.17,7276.0,2.858
2018-07-10,6307.2,432.67,0.128,0.44422,0.002458,1255.4,2793.84,7282.6,2.867
2018-07-11,6389.1,445.99,0.1314,0.45023,0.002462,1244.4,2774.02,7243.98,2.84
2018-07-12,6250.6,430.84,0.1273,0.43767,0.002286,1246.6,2798.29,7366.25,2.849
2018-07-13,6230.2,432.85,0.1375,0.43727,0.002328,1241.2,2801.31,7375.82,2.829
2018-07-14,6254.8,434.09,0.1365,0.43849,0.002344,1241.2,2801.31,7375.82,2.829
2018-07-15,6362.9,450.81,0.1423,0.44708,0.002423,1241.2,2801.31,7375.82,2.829
2018-07-16,6729.9,479.79,0.1566,0.4819,0.002904,1239.7,2798.43,7357.9,2.856
2018-07-17,7322.0,499.87,0.1715,0.50696,0.003254,1227.3,2809.55,7403.89,2.86
2018-07-18,7383.6,480.0,0.1804,0.48826,0.003694,1227.9,2815.62,7390.13,2.875
2018-07-19,7477.5,469.47,0.1818,0.47694,0.003833,1224.0,2804.49,7352.36,2.838
2018-07-20,7339.4,449.38,0.1615,0.44462,0.003409,1231.1,2801.83,7350.23,2.895
2018-07-21,7408.7,461.52,0.1636,0.45501,0.003555,1231.1,2801.83,7350.23,2.895
2018-07-22,7412.3,459.02,0.1694,0.44938,0.003487,1231.1,2801.83,7350.23,2.895
