Date,Bitcoin,Ethereum,Cardano,XRP,Dogecoin
2018-07-01,6366.8,452.57,0.1421,0.46226,0.002536
2018-07-02,6619.5,475.7,0.1544,0.49005,0.002735
2018-07-03,6513.5,461.89,0.1498,0.48516,0.002655
2018-07-04,6598.4,467.52,0.1514,0.49194,0.002688
2018-07-05,6546.5,468.47,0.1475,0.47779,0.002614
2018-07-06,6617.7,469.9,0.1451,0.47773,0.002636
2018-07-07,6765.5,485.4,0.1478,0.4857,0.002655
2018-07-08,6714.8,486.45,0.145,0.47886,0.002649
2018-07-09,6667.1,471.52,0.1393,0.47383,0.002635
2018-07-10,6307.2,432.67,0.128,0.44422,0.002458
2018-07-11,6389.1,445.99,0.1314,0.45023,0.002462
2018-07-12,6250.6,430.84,0.1273,0.43767,0.002286
2018-07-13,6230.2,432.85,0.1375,0.43727,0.002328
2018-07-14,6254.8,434.09,0.1365,0.43849,0.002344
2018-07-15,6362.9,450.81,0.1423,0.44708,0.002423
2018-07-16,6729.9,479.79,0.1566,0.4819,0.002904
2018-07-17,7322.0,499.87,0.1715,0.50696,0.003254
2018-07-18,7383.6,480.0,0.1804,0.48826,0.003694
2018-07-19,7477.5,469.47,0.1818,0.47694,0.003833
2018-07-20,7339.4,449.38,0.1615,0.44462,0.003409
2018-07-21,7408.7,461.52,0.1636,0.45501,0.003555
2018-07-22,7412.3,459.02,0.1694,0.44938,0.003487
2018-07-23,7723.0,450.56,0.1645,0.44519,0.003416
2018-07-24,8407.0,479.88,0.1738,0.45813,0.003626
2018-07-25,8173.7,472.03,0.1727,0.45943,0.003564
2018-07-26,7937.0,462.75,0.1644,0.44956,0.003374
2018-07-27,8187.4,470.23,0.1661,0.45516,0.003444
2018-07-28,8234.1,468.78,0.1643,0.45675,0.003421
2018-07-29,8215.6,466.41,0.1625,0.45303,0.003305
2018-07-30,8177.1,456.64,0.1534,0.44603,0.003259
2018-07-31,7729.4,431.5,0.1416,0.43498,0.002979
2018-08-01,7606.4,420.3,0.1399,0.44667,0.003056
2018-08-02,7535.6,411.0,0.1309,0.43025,0.00297
2018-08-03,7419.0,417.58,0.1296,0.44065,0.002928
2018-08-04,7014.3,407.09,0.1264,0.42969,0.002829
2018-08-05,7027.1,408.85,0.1306,0.43458,0.002876
2018-08-06,6943.6,405.4,0.1295,0.41287,0.002783
2018-08-07,6724.9,378.25,0.1238,0.37837,0.002651
2018-08-08,6283.6,355.44,0.1128,0.33179,0.002421
2018-08-09,6538.8,363.34,0.1219,0.34388,0.002579
2018-08-10,6152.3,331.81,0.1146,0.31886,0.002417
2018-08-11,6231.6,317.59,0.1103,0.29757,0.002381
2018-08-12,6313.0,318.18,0.1119,0.29555,0.002407
2018-08-13,6255.3,284.01,0.1011,0.27446,0.002331
2018-08-14,6190.2,278.19,0.0938,0.27289,0.002232
2018-08-15,6256.9,281.12,0.0936,0.28026,0.002281
2018-08-16,6306.7,286.76,0.0945,0.29157,0.002268
2018-08-17,6581.7,316.9,0.1099,0.36739,0.002498
2018-08-18,6379.1,293.89,0.0983,0.32838,0.002397
2018-08-19,6481.5,299.33,0.1014,0.3423,0.002457
2018-08-20,6268.1,271.08,0.092,0.31467,0.002344
2018-08-21,6482.2,280.9,0.0947,0.33384,0.002408
2018-08-22,6359.6,269.84,0.0895,0.31786,0.002332
2018-08-23,6521.2,276.12,0.0923,0.32608,0.002376
2018-08-24,6680.4,281.29,0.0938,0.32673,0.00243
2018-08-25,6734.8,277.61,0.094,0.32725,0.00242
2018-08-26,6712.7,274.46,0.0931,0.32298,0.002427
2018-08-27,6897.6,286.57,0.1004,0.33877,0.002477
2018-08-28,7074.6,295.62,0.1055,0.35111,0.002643
2018-08-29,7029.1,288.42,0.1054,0.3448,0.00263
2018-08-30,6993.7,283.97,0.1007,0.33487,0.003323
2018-08-31,7033.8,281.94,0.1018,0.33503,0.004823
2018-09-01,7189.6,295.31,0.107,0.34691,0.006458
2018-09-02,7293.9,295.05,0.1048,0.34199,0.005067
2018-09-03,7264.2,288.92,0.1036,0.33463,0.005324
2018-09-04,7377.5,285.17,0.1053,0.33078,0.005284
2018-09-05,6706.8,228.77,0.0865,0.27904,0.004953
2018-09-06,6514.0,229.6,0.0883,0.30169,0.005038
2018-09-07,6390.9,215.6,0.0826,0.28704,0.005306
2018-09-08,6184.3,196.79,0.0775,0.27673,0.005717
2018-09-09,6238.5,195.8,0.0759,0.27608,0.005859
2018-09-10,6321.0,197.04,0.0734,0.26944,0.006945
2018-09-11,6293.9,185.07,0.0701,0.26298,0.006348
2018-09-12,6338.0,182.98,0.0662,0.26986,0.0065
2018-09-13,6482.9,211.0,0.0695,0.27914,0.006582
2018-09-14,6483.7,209.98,0.0676,0.27616,0.006207
2018-09-15,6519.0,221.94,0.0689,0.28041,0.006249
2018-09-16,6500.2,220.2,0.0699,0.28113,0.006583
2018-09-17,6251.9,196.24,0.0633,0.27058,0.006278
2018-09-18,6342.0,209.03,0.0692,0.31965,0.00597
2018-09-19,6390.4,209.74,0.0722,0.3265,0.00563
2018-09-20,6489.2,224.42,0.081,0.4501,0.005714
2018-09-21,6766.7,247.92,0.0877,0.56351,0.005713
2018-09-22,6729.6,240.82,0.0834,0.57338,0.005806
2018-09-23,6704.1,244.67,0.0897,0.57179,0.005969
2018-09-24,6584.1,228.01,0.0825,0.49234,0.005718
2018-09-25,6445.1,219.04,0.0811,0.5257,0.005747
2018-09-26,6468.1,214.35,0.0792,0.51257,0.005776
2018-09-27,6689.2,229.15,0.0864,0.54315,0.00589
2018-09-28,6636.0,221.77,0.0839,0.53969,0.005894
2018-09-29,6603.9,231.87,0.0843,0.56983,0.005887
2018-09-30,6635.2,232.8,0.0851,0.58274,0.005933
2018-10-01,6608.2,231.77,0.0846,0.57737,0.005949
2018-10-02,6549.9,225.84,0.0822,0.51702,0.005825
2018-10-03,6507.8,220.51,0.0809,0.52855,0.005736
2018-10-04,6584.2,222.57,0.0815,0.52871,0.005674
2018-10-05,6639.1,228.34,0.0834,0.52085,0.005672
2018-10-06,6596.3,225.18,0.0816,0.48883,0.005587
2018-10-07,6611.0,226.11,0.0847,0.48247,0.005629
2018-10-08,6669.6,229.84,0.087,0.49233,0.005643
2018-10-09,6650.8,228.25,0.0866,0.48157,0.005666
2018-10-10,6618.0,226.3,0.0855,0.46573,0.005627
2018-10-11,6239.1,190.89,0.0707,0.38209,0.005026
2018-10-12,6291.3,196.7,0.0732,0.42055,0.005307
2018-10-13,6321.7,201.22,0.0737,0.42235,0.005265
2018-10-14,6326.8,197.08,0.0717,0.40834,0.00527
2018-10-15,6699.8,214.26,0.0767,0.45981,0.005376
2018-10-16,6705.3,215.06,0.0778,0.48335,0.005146
