Date,Gold,SP500,Nasdaq,US_Bond
2018-07-02,1241.7,2726.71,7097.82,2.871
2018-07-03,1253.5,2713.22,7014.55,2.833
2018-07-05,1261.7,2736.61,7101.05,2.833
2018-07-06,1255.8,2759.82,7207.33,2.824
2018-07-09,1259.6,2784.17,7276.0,2.858
2018-07-10,1255.4,2793.84,7282.6,2.867
2018-07-11,1244.4,2774.02,7243.98,2.84
2018-07-12,1246.6,2798.29,7366.25,2.849
2018-07-13,1241.2,2801.31,7375.82,2.829
2018-07-16,1239.7,2798.43,7357.9,2.856
2018-07-17,1227.3,2809.55,7403.89,2.86
2018-07-18,1227.9,2815.62,7390.13,2.875
2018-07-19,1224.0,2804.49,7352.36,2.838
2018-07-20,1231.1,2801.83,7350.23,2.895
2018-07-23,1225.6,2806.98,7371.78,2.96
2018-07-24,1225.5,2820.4,7406.25,2.95
2018-07-25,1231.8,2846.07,7508.59,2.973
2018-07-26,1225.7,2837.44,7400.75,2.982
2018-07-27,1232.7,2818.82,7296.78,2.958
2018-07-30,1231.5,2802.6,7193.1,2.975
2018-07-31,1233.6,2816.29,7231.98,2.962
2018-08-01,1227.6,2813.36,7272.89,3.004
2018-08-02,1220.1,2827.22,7372.15,2.986
2018-08-03,1223.2,2840.35,7395.49,2.951
2018-08-06,1217.7,2850.4,7438.99,2.945
2018-08-07,1218.3,2858.45,7462.65,2.977
2018-08-08,1221.0,2857.7,7469.55,2.964
2018-08-09,1219.9,2853.58,7466.96,2.929
2018-08-10,1219.0,2833.28,7408.3,2.873
2018-08-13,1198.9,2821.93,7401.17,2.877
2018-08-14,1200.7,2839.96,7447.17,2.9
2018-08-15,1185.0,2818.37,7354.66,2.864
2018-08-16,1184.0,2840.69,7374.3,2.87
2018-08-17,1184.2,2850.13,7377.54,2.864
2018-08-20,1194.6,2857.05,7371.42,2.819
2018-08-21,1200.0,2862.96,7397.23,2.842
2018-08-22,1203.3,2861.82,7424.6,2.821
2018-08-23,1194.0,2856.98,7413.84,2.828
2018-08-24,1213.3,2874.69,7485.4,2.813
2018-08-27,1216.0,2896.74,7559.13,2.846
2018-08-28,1214.4,2897.52,7570.25,2.884
2018-08-29,1211.5,2914.04,7660.18,2.886
2018-08-30,1205.0,2901.13,7642.67,2.859
2018-08-31,1206.7,2901.52,7654.55,2.86
2018-09-04,1196.6,2896.72,7622.32,2.898
2018-09-05,1201.3,2888.6,7523.26,2.904
2018-09-06,1204.3,2878.05,7453.17,2.878
2018-09-07,1200.4,2871.68,7430.26,2.939
2018-09-10,1199.8,2877.13,7447.68,2.935
2018-09-11,1202.2,2887.89,7507.87,2.981
2018-09-12,1210.9,2888.92,7488.06,2.964
2018-09-13,1208.2,2904.18,7561.69,2.974
2018-09-14,1201.1,2904.98,7545.5,3.0
2018-09-17,1205.8,2888.8,7434.73,2.994
2018-09-18,1202.9,2904.31,7494.4,3.057
2018-09-19,1208.3,2907.95,7490.32,3.066
2018-09-20,1211.3,2930.75,7569.03,3.065
2018-09-21,1201.3,2929.67,7531.07,3.066
2018-09-24,1204.4,2919.37,7548.75,3.089
2018-09-25,1205.1,2915.56,7563.19,3.098
2018-09-26,1199.1,2905.97,7563.09,3.048
2018-09-27,1187.4,2914.0,7629.57,3.056
2018-09-28,1196.2,2913.98,7627.65,3.065
2018-10-01,1191.7,2924.59,7645.45,3.086
2018-10-02,1207.0,2923.43,7628.28,3.061
2018-10-03,1202.9,2925.51,7637.43,3.181
2018-10-04,1201.6,2901.61,7490.0,3.187
2018-10-05,1205.6,2885.57,7399.01,3.233
2018-10-08,1188.6,2884.43,7352.82,3.231
